Date,Close
1989-02-09,0.09233300387859344
1989-02-10,0.09233300387859344
1989-02-13,0.08573822677135468
1989-02-14,0.08573822677135468
1989-02-15,0.08573822677135468
1989-02-16,0.08573822677135468
1989-02-17,0.09892860054969788
1989-02-21,0.09892860054969788
1989-02-22,0.09892860054969788
1989-02-23,0.09233300387859344
1989-02-24,0.09233300387859344
1989-02-27,0.09233300387859344
1989-02-28,0.09233300387859344
1989-03-01,0.09233300387859344
1989-03-02,0.09233300387859344
1989-03-03,0.09233300387859344
1989-03-06,0.09233300387859344
1989-03-07,0.09233300387859344
1989-03-08,0.09233300387859344
1989-03-09,0.09233300387859344
1989-03-10,0.09233300387859344
1989-03-13,0.09233300387859344
1989-03-14,0.09233300387859344
1989-03-15,0.09233300387859344
1989-03-16,0.09233300387859344
1989-03-17,0.09233300387859344
1989-03-20,0.09233300387859344
1989-03-21,0.09233300387859344
1989-03-22,0.09233300387859344
1989-03-23,0.09233300387859344
1989-03-27,0.09233300387859344
1989-03-28,0.09233300387859344
1989-03-29,0.08573822677135468
1989-03-30,0.08573822677135468
1989-03-31,0.08573822677135468
1989-04-03,0.08573822677135468
1989-04-04,0.08573822677135468
1989-04-05,0.08573822677135468
1989-04-06,0.08573822677135468
1989-04-07,0.08573822677135468
1989-04-10,0.08573822677135468
1989-04-11,0.08573822677135468
1989-04-12,0.08573822677135468
1989-04-13,0.08573822677135468
1989-04-14,0.08573822677135468
1989-04-17,0.07914255559444427
1989-04-18,0.07914255559444427
1989-04-19,0.07914255559444427
1989-04-20,0.07914255559444427
1989-04-21,0.07914255559444427
1989-04-24,0.07254777103662491
1989-04-25,0.07254777103662491
1989-04-26,0.07254777103662491
1989-04-27,0.07254777103662491
1989-04-28,0.07254777103662491
1989-05-01,0.07254777103662491
1989-05-02,0.07254777103662491
1989-05-03,0.07254777103662491
1989-05-04,0.07254777103662491
1989-05-05,0.07254777103662491
1989-05-08,0.07254777103662491
1989-05-09,0.07254777103662491
1989-05-10,0.07254777103662491
1989-05-11,0.07254777103662491
1989-05-12,0.07254777103662491
1989-05-15,0.06924957036972046
1989-05-16,0.06924957036972046
1989-05-17,0.0659521296620369
1989-05-18,0.0659521296620369
1989-05-19,0.0659521296620369
1989-05-22,0.0659521296620369
1989-05-23,0.0659521296620369
1989-05-24,0.0659521296620369
1989-05-25,0.0659521296620369
1989-05-26,0.06924957036972046
1989-05-30,0.06924957036972046
1989-05-31,0.06924957036972046
1989-06-01,0.06924957036972046
1989-06-02,0.06924957036972046
1989-06-05,0.06924957036972046
1989-06-06,0.06924957036972046
1989-06-07,0.06924957036972046
1989-06-08,0.06924957036972046
1989-06-09,0.06924957036972046
1989-06-12,0.06924957036972046
1989-06-13,0.06924957036972046
1989-06-14,0.06924957036972046
1989-06-15,0.06924957036972046
1989-06-16,0.06924957036972046
1989-06-19,0.06924957036972046
1989-06-20,0.06924957036972046
1989-06-21,0.06924957036972046
1989-06-22,0.06924957036972046
1989-06-23,0.06924957036972046
1989-06-26,0.06924957036972046
1989-06-27,0.06924957036972046
1989-06-28,0.06924957036972046
1989-06-29,0.06924957036972046
1989-06-30,0.06924957036972046
1989-07-03,0.06924957036972046
1989-07-05,0.06924957036972046
1989-07-06,0.06924957036972046
1989-07-07,0.06924957036972046
1989-07-10,0.06924957036972046
1989-07-11,0.06924957036972046
1989-07-12,0.06924957036972046
1989-07-13,0.06924957036972046
1989-07-14,0.06924957036972046
1989-07-17,0.06924957036972046
1989-07-18,0.06924957036972046
1989-07-19,0.06924957036972046
1989-07-20,0.06924957036972046
1989-07-21,0.06924957036972046
1989-07-24,0.06924957036972046
1989-07-25,0.06924957036972046
1989-07-26,0.06924957036972046
1989-07-27,0.06924957036972046
1989-07-28,0.06924957036972046
1989-07-31,0.06924957036972046
1989-08-01,0.06924957036972046
1989-08-02,0.06924957036972046
1989-08-03,0.06924957036972046
1989-08-04,0.06924957036972046
1989-08-07,0.06924957036972046
1989-08-08,0.06924957036972046
1989-08-09,0.06924957036972046
1989-08-10,0.06924957036972046
1989-08-11,0.06924957036972046
1989-08-14,0.06924957036972046
1989-08-15,0.06924957036972046
1989-08-16,0.06924957036972046
1989-08-17,0.06924957036972046
1989-08-18,0.06924957036972046
1989-08-21,0.06924957036972046
1989-08-22,0.06924957036972046
1989-08-23,0.07254777103662491
1989-08-24,0.07254777103662491
1989-08-25,0.07254777103662491
1989-08-28,0.07254777103662491
1989-08-29,0.07914255559444427
1989-08-30,0.07914255559444427
1989-08-31,0.07914255559444427
1989-09-01,0.07914255559444427
1989-09-05,0.07914255559444427
1989-09-06,0.07914255559444427
1989-09-07,0.07914255559444427
1989-09-08,0.07914255559444427
1989-09-11,0.07914255559444427
1989-09-12,0.07914255559444427
1989-09-13,0.07914255559444427
1989-09-14,0.07914255559444427
1989-09-15,0.07914255559444427
